sp,group,lfmc,ig_freq,ig_prop
pinus_ponderosa,exotic,119.7,100,1
pseudotsuga_menziesii,exotic,107.2,99.6,0.996
pinus_contorta,exotic,111,100,1
pinus_radiata,exotic,126.7,100,1
populus_nigra,exotic,252,40.4,0.404
nothofagus_dombeyi,native,104.3,100,1
nothofagus_antarctica,native,135.6,91.1,0.911
nothofagus_pumilio,native,142.5,87.8,0.878
lomatia_hirsuta,native,152.8,89.7,0.897
maitnus_boaria,native,157.4,97,0.97
austrocedrus_chilensis,native,153.4,72.7,0.727
schinus_patagonicus,native,137.2,43,0.43
berberis_microphylla,native,87.7,99.2,0.992
berbers_darwinii,native,142.6,98.8,0.988
fabiana_imbricata,native,164,97,0.97
mulinum_spinosum,native,169.1,55,0.55
ribes_maguellanicum,native,202.8,47.5,0.475
chusquea_culeou,native,75.2,98,0.98
