date,rain_mm,time
10/1/2019,2.2,-81
10/2/2019,0,-80
10/3/2019,0,-79
10/4/2019,0,-78
10/5/2019,0,-77
10/6/2019,67.2,-76
10/7/2019,7.2,-75
10/8/2019,0,-74
10/9/2019,0,-73
10/10/2019,0,-72
10/11/2019,0,-71
10/12/2019,0,-70
10/13/2019,0,-69
10/14/2019,0,-68
10/15/2019,4,-67
10/16/2019,0,-66
10/17/2019,0,-65
10/18/2019,0,-64
10/19/2019,0,-63
10/20/2019,0,-62
10/21/2019,12.6,-61
10/22/2019,0,-60
10/23/2019,0,-59
10/24/2019,0,-58
10/25/2019,1.4,-57
10/26/2019,34,-56
10/27/2019,0,-55
10/28/2019,3.4,-54
10/29/2019,71.6,-53
10/30/2019,1.2,-52
10/31/2019,0,-51
11/1/2019,1.8,-50
11/2/2019,0,-49
11/3/2019,0,-48
11/4/2019,0,-47
11/5/2019,0,-46
11/6/2019,0,-45
11/7/2019,0,-44
11/8/2019,0,-43
11/9/2019,0,-42
11/10/2019,0,-41
11/11/2019,0,-40
11/12/2019,0,-39
11/13/2019,0,-38
11/14/2019,125.2,-37
11/15/2019,0,-36
11/16/2019,0,-35
11/17/2019,0,-34
11/18/2019,7.6,-33
11/19/2019,32,-32
11/20/2019,0,-31
11/21/2019,0,-30
11/22/2019,0,-29
11/23/2019,0,-28
11/24/2019,0,-27
11/25/2019,0,-26
11/26/2019,1.8,-25
11/27/2019,0,-24
11/28/2019,0,-23
11/29/2019,65.6,-22
11/30/2019,0,-21
12/1/2019,0,-20
12/2/2019,0,-19
12/3/2019,0,-18
12/4/2019,0,-17
12/5/2019,0,-16
12/6/2019,0,-15
12/7/2019,0,-14
12/8/2019,0,-13
12/9/2019,0,-12
12/10/2019,0,-11
12/11/2019,0,-10
12/12/2019,0,-9
12/13/2019,0,-8
12/14/2019,0,-7
12/15/2019,0,-6
12/16/2019,0,-5
12/17/2019,0,-4
12/18/2019,31.8,-3
12/19/2019,0,-2
12/20/2019,0,-1
12/21/2019,0,0
12/22/2019,0,1
12/23/2019,0,2
12/24/2019,27.2,3
12/25/2019,0,4
12/26/2019,0,5
12/27/2019,0,6
12/28/2019,5,7
12/29/2019,0,8
12/30/2019,0,9
12/31/2019,0,10
1/1/2020,34.8,11
1/2/2020,93.8,12
1/3/2020,0,13
1/4/2020,0,14
1/5/2020,0,15
1/6/2020,0,16
1/7/2020,0,17
1/8/2020,34.8,18
1/9/2020,6.2,19
1/10/2020,0,20
1/11/2020,0,21
1/12/2020,0,22
1/13/2020,0,23
1/14/2020,0,24
1/15/2020,0,25
1/16/2020,0,26
1/17/2020,0,27
1/18/2020,0,28
1/19/2020,0,29
1/20/2020,0,30
1/21/2020,0,31
1/22/2020,0,32
1/23/2020,0,33
1/24/2020,0,34
1/25/2020,0,35
1/26/2020,0,36
1/27/2020,0,37
1/28/2020,0,38
1/29/2020,0,39
1/30/2020,0,40
1/31/2020,0,41
2/1/2020,0,42
2/2/2020,0,43
2/3/2020,10.6,44
2/4/2020,13.4,45
2/5/2020,0,46
2/6/2020,0,47
2/7/2020,0,48
2/8/2020,0,49
2/9/2020,0,50
2/10/2020,0,51
2/11/2020,0,52
2/12/2020,0,53
2/13/2020,0,54
2/14/2020,0,55
2/15/2020,0,56
2/16/2020,0,57
2/17/2020,0,58
2/18/2020,0,59
2/19/2020,0,60
2/20/2020,0,61
2/21/2020,0,62
2/22/2020,0,63
2/23/2020,0,64
2/24/2020,0,65
2/25/2020,0,66
2/26/2020,0,67
2/27/2020,0,68
2/28/2020,0,69
2/29/2020,0,70
3/1/2020,0,71
3/2/2020,0,72
3/3/2020,0,73
3/4/2020,0,74
3/5/2020,0,75
3/6/2020,0,76
3/7/2020,0,77
3/8/2020,0,78
3/9/2020,0,79
3/10/2020,0,80
3/11/2020,4.4,81
3/12/2020,0,82
3/13/2020,14.4,83
3/14/2020,0,84
3/15/2020,0,85
3/16/2020,0,86
3/17/2020,0,87
3/18/2020,0,88
3/19/2020,0,89
3/20/2020,0,90
3/21/2020,0,91
3/22/2020,0,92
3/23/2020,10.4,93
3/24/2020,24.8,94
3/25/2020,0,95
3/26/2020,0,96
3/27/2020,0,97
3/28/2020,1.6,98
3/29/2020,0,99
3/30/2020,0,100
3/31/2020,0,101
4/1/2020,0,102
