"","Species","T1 / Mature forest","T1 / Young forest","T1 / Closed shrubland","T1 / Open shrubland","T2 / Mature forest","T2 / Young forest","T2 / Closed shrubland","T2 / Open shrubland","T3 / Mature forest","T3 / Young forest"
"1","Nothofagus dombeyi",0.126582278481013,0.453968253968254,0,0,0.364238410596026,0.790780141843972,0.191964285714286,0.153846153846154,0.0930232558139535,0.703703703703704
"2","Herbaceous",0.126582278481013,0.053968253968254,0.079646017699115,0.625668449197861,0.0596026490066225,0.0390070921985816,0.129464285714286,0.294871794871795,0.0116279069767442,0.0740740740740741
"3","Schinus patagonicus",0.291139240506329,0.0857142857142857,0.0221238938053097,0.0374331550802139,0.211920529801325,0.0390070921985816,0.1875,0.269230769230769,0.162790697674419,0.037037037037037
"4","Chusquea culeou",0.253164556962025,0.0317460317460317,0,0,0.231788079470199,0.00354609929078014,0,0,0.604651162790698,0.1440329218107
"5","Mutisia spinosa",0,0.146031746031746,0.0884955752212389,0.27807486631016,0,0.0460992907801418,0.0714285714285714,0,0,0
"6","Lomatia hirsuta",0,0.142857142857143,0.168141592920354,0,0,0,0.209821428571429,0,0.0813953488372093,0.00823045267489712
"7","Fabiana imbricata",0,0,0.194690265486726,0.0267379679144385,0,0,0.142857142857143,0.230769230769231,0,0
"8","Aristotelia chilensis",0.113924050632911,0.0698412698412698,0,0,0.0662251655629139,0.0390070921985816,0,0,0,0.0123456790123457
"9","Nothofagus antarctica",0,0,0.190265486725664,0,0,0,0.0267857142857143,0,0,0
"10","Maytenus boaria",0.0126582278481013,0,0.0707964601769911,0.0160427807486631,0,0,0,0.0128205128205128,0,0.00823045267489712
"11","Austrocedrus chilensis",0.0759493670886076,0.00634920634920635,0,0,0,0,0,0,0,0
"12","Berberis microphylla",0,0,0.0265486725663717,0,0.00662251655629139,0.0141843971631206,0.00892857142857143,0,0.0116279069767442,0
"13","Diostea juncea",0,0,0.0442477876106195,0.0160427807486631,0,0,0,0,0,0
"14","Embothrium coccineum",0,0,0.0221238938053097,0,0.033112582781457,0,0,0,0,0
"15","Discaria chacaye",0,0,0.0442477876106195,0,0,0.00354609929078014,0.00446428571428571,0,0,0
"16","Bacaris sp.",0,0,0.0353982300884956,0,0,0.00354609929078014,0,0,0,0
"17","Ribes magellanicum",0,0.00952380952380952,0,0,0,0.0106382978723404,0.00446428571428571,0,0,0.0123456790123457
"18","Gaultheria mucronata",0,0,0,0,0,0.0106382978723404,0.0133928571428571,0.0128205128205128,0,0
"19","Maytenus chubutensis",0,0,0,0,0,0,0.00892857142857143,0,0.0232558139534884,0
"20","Adesmia sp.",0,0,0,0,0,0,0,0.0256410256410256,0,0
"21","Berberis serratodentata",0,0,0,0,0.0198675496688742,0,0,0,0,0
"22","Myoschilos oblongum",0,0,0.0132743362831858,0,0,0,0,0,0,0
"23","Maytenus magellanica",0,0,0,0,0,0,0,0,0.0116279069767442,0
"24","Rosa rubiginosa",0,0,0,0,0.00662251655629139,0,0,0,0,0
